SITE,DATE,EffTP,MDL
NOLAND,2011-09-04,0.18,FALSE
NOLAND,2011-09-05,0.23,FALSE
NOLAND,2011-09-06,0.31,FALSE
NOLAND,2011-09-08,0.15,FALSE
NOLAND,2011-09-09,0.13,FALSE
NOLAND,2011-09-12,0.29,FALSE
NOLAND,2011-09-13,0.27,FALSE
NOLAND,2011-09-14,0.33,FALSE
NOLAND,2011-09-15,0.27,FALSE
NOLAND,2011-09-16,0.19,FALSE
NOLAND,2011-09-18,0.18,FALSE
NOLAND,2011-09-19,0.2,FALSE
NOLAND,2011-09-21,0.24,FALSE
NOLAND,2011-09-22,0.17,FALSE
NOLAND,2011-09-23,0.17,FALSE
NOLAND,2011-09-25,0.23,FALSE
NOLAND,2011-09-26,0.2,FALSE
NOLAND,2011-09-27,0.25,FALSE
NOLAND,2011-09-28,0.38,FALSE
NOLAND,2011-09-29,0.26,FALSE
NOLAND,2011-10-02,0.27,FALSE
NOLAND,2011-10-03,0.27,FALSE
NOLAND,2011-10-04,0.22,FALSE
NOLAND,2011-10-05,0.21,FALSE
NOLAND,2011-10-06,0.15,FALSE
NOLAND,2011-10-09,0.29,FALSE
NOLAND,2011-10-10,0.31,FALSE
NOLAND,2011-10-11,0.3,FALSE
NOLAND,2011-10-12,0.39,FALSE
NOLAND,2011-10-13,0.37,FALSE
NOLAND,2011-10-16,0.7,FALSE
NOLAND,2011-10-17,0.67,FALSE
NOLAND,2011-10-18,0.62,FALSE
NOLAND,2011-10-19,0.63,FALSE
NOLAND,2011-10-20,0.5,FALSE
NOLAND,2011-10-25,0.52,FALSE
NOLAND,2011-10-26,0.45,FALSE
NOLAND,2011-10-27,0.46,FALSE
NOLAND,2011-10-28,0.22,FALSE
NOLAND,2011-10-29,0.33,FALSE
NOLAND,2011-10-30,0.2,FALSE
NOLAND,2011-10-31,0.13,FALSE
NOLAND,2011-11-01,0.24,FALSE
NOLAND,2011-11-02,0.25,FALSE
NOLAND,2011-11-03,0.25,FALSE
NOLAND,2011-11-06,0.3,FALSE
NOLAND,2011-11-07,0.22,FALSE
NOLAND,2011-11-08,0.6,FALSE
NOLAND,2011-11-09,0.37,FALSE
NOLAND,2011-11-10,0.13,FALSE
NOLAND,2011-11-13,0.22,FALSE
NOLAND,2011-11-14,0.38,FALSE
NOLAND,2011-11-15,0.18,FALSE
NOLAND,2011-11-16,0.24,FALSE
NOLAND,2011-11-17,0.13,FALSE
NOLAND,2011-11-20,0.17,FALSE
NOLAND,2011-11-21,0.21,FALSE
NOLAND,2011-11-22,0.17,FALSE
NOLAND,2011-11-23,0.11,FALSE
NOLAND,2011-11-24,0.2,FALSE
NOLAND,2011-11-27,0.2,FALSE
NOLAND,2011-11-28,0.17,FALSE
NOLAND,2011-11-29,0.12,FALSE
NOLAND,2011-11-30,0.14,FALSE
NOLAND,2011-12-01,0.25,FALSE
NOLAND,2011-12-04,0.2,FALSE
NOLAND,2011-12-05,0.13,FALSE
NOLAND,2011-12-06,0.11,FALSE
NOLAND,2011-12-07,0.11,FALSE
NOLAND,2011-12-08,0.12,FALSE
NOLAND,2011-12-11,0.14,FALSE
NOLAND,2011-12-12,0.14,FALSE
NOLAND,2011-12-13,0.14,FALSE
NOLAND,2011-12-14,0.16,FALSE
NOLAND,2011-12-15,0.23,FALSE
NOLAND,2011-12-18,0.1,FALSE
