Site,Date,Flow
Richland Creek,2011-04-29,559
Richland Creek,2011-04-30,505
Richland Creek,2011-05-01,907
Richland Creek,2011-05-02,1900
Richland Creek,2011-05-03,1080
Richland Creek,2011-05-04,590
Richland Creek,2011-05-05,420
Richland Creek,2011-05-06,389
Richland Creek,2011-05-07,327
Richland Creek,2011-05-08,273
Richland Creek,2011-05-09,227
Richland Creek,2011-05-10,188
Richland Creek,2011-05-11,165
Richland Creek,2011-05-12,320
Richland Creek,2011-05-13,838
Richland Creek,2011-05-14,358
Richland Creek,2011-05-15,250
Richland Creek,2011-05-16,211
Richland Creek,2011-05-17,196
Richland Creek,2011-05-18,146
Richland Creek,2011-05-19,252
Richland Creek,2011-05-20,1140
Richland Creek,2011-05-21,3140
Richland Creek,2011-05-22,896
Richland Creek,2011-05-23,3200
Richland Creek,2011-05-24,5550
Richland Creek,2011-05-25,896
Richland Creek,2011-05-26,771
Richland Creek,2011-05-27,550
Richland Creek,2011-05-28,415
Richland Creek,2011-05-29,348
Richland Creek,2011-05-30,262
Richland Creek,2011-05-31,214
Richland Creek,2011-06-01,204
Richland Creek,2011-06-02,175
Richland Creek,2011-06-03,165
Richland Creek,2011-06-04,137
Richland Creek,2011-06-05,119
Richland Creek,2011-06-06,109
Richland Creek,2011-06-07,99
Richland Creek,2011-06-08,88
Richland Creek,2011-06-09,80
Richland Creek,2011-06-10,74
Richland Creek,2011-06-11,68
Richland Creek,2011-06-12,70
Richland Creek,2011-06-13,63
Richland Creek,2011-06-14,54
Richland Creek,2011-06-15,52
Richland Creek,2011-06-16,47
Richland Creek,2011-06-17,45
Richland Creek,2011-06-18,41
Richland Creek,2011-06-19,38
Richland Creek,2011-06-20,36
Richland Creek,2011-06-21,34
Richland Creek,2011-06-22,29
Richland Creek,2011-06-23,30
Richland Creek,2011-06-24,30
Richland Creek,2011-06-25,28
Richland Creek,2011-06-26,26
Richland Creek,2011-06-27,23
Richland Creek,2011-06-28,23
Richland Creek,2011-06-29,24
Richland Creek,2011-06-30,23
Richland Creek,2011-07-01,23
Richland Creek,2011-07-02,19
Richland Creek,2011-07-03,26
Richland Creek,2011-07-04,28
Richland Creek,2011-07-05,23
Richland Creek,2011-07-06,23
Richland Creek,2011-07-07,22
Richland Creek,2011-07-08,19
Richland Creek,2011-07-09,17
Richland Creek,2011-07-10,18
Richland Creek,2011-07-11,16
Richland Creek,2011-07-12,13
Richland Creek,2011-07-13,21
Richland Creek,2011-07-14,16
Richland Creek,2011-07-15,17
Richland Creek,2011-07-16,16
Richland Creek,2011-07-17,13
Richland Creek,2011-07-18,14
Richland Creek,2011-07-19,12
Richland Creek,2011-07-20,12
Richland Creek,2011-07-21,13
Richland Creek,2011-07-22,15
Richland Creek,2011-07-23,15
Richland Creek,2011-07-24,17
Richland Creek,2011-07-25,15
Richland Creek,2011-07-26,14
Richland Creek,2011-07-27,14
Richland Creek,2011-07-28,13
Richland Creek,2011-07-29,12
Richland Creek,2011-07-30,9.8
Richland Creek,2011-07-31,11
Richland Creek,2011-08-01,7.7
Richland Creek,2011-08-02,12
Richland Creek,2011-08-03,9.8
Richland Creek,2011-08-04,12
Richland Creek,2011-08-05,12
Richland Creek,2011-08-06,12
Richland Creek,2011-08-07,17
Richland Creek,2011-08-08,17
Richland Creek,2011-08-09,38
Richland Creek,2011-08-10,77
Richland Creek,2011-08-11,178
Richland Creek,2011-08-12,262
Richland Creek,2011-08-13,243
Richland Creek,2011-08-14,252
Richland Creek,2011-08-15,135
Richland Creek,2011-08-16,108
Richland Creek,2011-08-17,111
Richland Creek,2011-08-18,107
Richland Creek,2011-08-19,70
Richland Creek,2011-08-20,59
Richland Creek,2011-08-21,54
Richland Creek,2011-08-22,48
Richland Creek,2011-08-23,50
Richland Creek,2011-08-24,39
Richland Creek,2011-08-25,32
Richland Creek,2011-08-26,27
Richland Creek,2011-08-27,22
Richland Creek,2011-08-28,19
Richland Creek,2011-08-29,16
Richland Creek,2011-08-30,13
Richland Creek,2011-08-31,12
Richland Creek,2011-09-01,9
Richland Creek,2011-09-02,6.5
Richland Creek,2011-09-03,4.5
Richland Creek,2011-09-04,3.7
Richland Creek,2011-09-05,3.4
Richland Creek,2011-09-06,3.1
Richland Creek,2011-09-07,2.8
Richland Creek,2011-09-08,2.6
Richland Creek,2011-09-09,2.9
Richland Creek,2011-09-10,2.8
Richland Creek,2011-09-11,2.9
Richland Creek,2011-09-12,2.4
Richland Creek,2011-09-13,2.1
Richland Creek,2011-09-14,2.3
Richland Creek,2011-09-15,2.3
Richland Creek,2011-09-16,2.5
Richland Creek,2011-09-17,4.8
Richland Creek,2011-09-18,6.2
Richland Creek,2011-09-19,13
Richland Creek,2011-09-20,12
Richland Creek,2011-09-21,8.3
Richland Creek,2011-09-22,34
Richland Creek,2011-09-23,42
Richland Creek,2011-09-24,26
Richland Creek,2011-09-25,18
Richland Creek,2011-09-26,17
Richland Creek,2011-09-27,13
Richland Creek,2011-09-28,12
Richland Creek,2011-09-29,11
Richland Creek,2011-09-30,10
Richland Creek,2011-10-01,9.8
Richland Creek,2011-10-02,7.6
Richland Creek,2011-10-03,7.2
Richland Creek,2011-10-04,6.9
Richland Creek,2011-10-05,6.8
Richland Creek,2011-10-06,5.7
Richland Creek,2011-10-07,4.8
Richland Creek,2011-10-08,5.1
Richland Creek,2011-10-09,5.4
Richland Creek,2011-10-10,7.4
Richland Creek,2011-10-11,8.6
Richland Creek,2011-10-12,14
Richland Creek,2011-10-13,11
Richland Creek,2011-10-14,9.8
Richland Creek,2011-10-15,8
Richland Creek,2011-10-16,6.6
Richland Creek,2011-10-17,5.9
Richland Creek,2011-10-18,6.6
Richland Creek,2011-10-19,6.8
Richland Creek,2011-10-20,6.7
Richland Creek,2011-10-21,6.4
Richland Creek,2011-10-22,6.2
Richland Creek,2011-10-23,6.3
Richland Creek,2011-10-24,5.9
Richland Creek,2011-10-25,6
