"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"146",2012-08-16,98,0.08,-2.52572864430826,4.58496747867057
"147",2012-08-21,104,0.088,-2.43041846450393,4.64439089914137
"148",2012-08-27,285,0.098,-2.32278780031156,5.65248918026865
"149",2012-09-04,140,0.11,-2.20727491318972,4.9416424226093
"150",2012-09-06,128,0.098,-2.32278780031156,4.85203026391962
"151",2012-09-11,162,0.102,-2.28278246569787,5.08759633523238
"152",2012-09-25,134,0.092,-2.3859667019331,4.89783979995091
"153",2012-10-02,128,0.092,-2.3859667019331,4.85203026391962
"154",2012-10-09,129,0.052,-2.95651156040071,4.85981240436167
"155",2012-10-13,499,0.086,-2.45340798272863,6.21260609575152
"156",2012-10-16,327,0.108,-2.22562405185792,5.78996017089725
"157",2012-10-23,161,0.08,-2.52572864430826,5.08140436498446
"158",2012-11-01,143,0.068,-2.68824757380603,4.96284463025991
"159",2012-11-15,153,0.058,-2.84731226843572,5.03043792139244
"160",2012-11-27,114,0.038,-3.27016911925575,4.7361984483945
"161",2012-12-04,153,0.04,-3.2188758248682,5.03043792139244
"162",2012-12-11,141,0.068,-2.68824757380603,4.94875989037817
"163",2013-01-03,184,0.034,-3.38139475436598,5.21493575760899
"164",2013-01-11,139,0.026,-3.64965874096066,4.93447393313069
"165",2013-01-15,151,0.04,-3.2188758248682,5.01727983681492
"166",2013-01-22,123,0.026,-3.64965874096066,4.81218435537242
"167",2013-01-30,1780,0.15,-1.89711998488588,7.48436864328613
"168",2013-02-05,285,0.052,-2.95651156040071,5.65248918026865
"169",2013-02-12,342,0.058,-2.84731226843572,5.8348107370626
"170",2013-02-19,239,0.044,-3.12356564506388,5.47646355193151
"171",2013-02-26,368,0.036,-3.32423634052603,5.90808293816893
"172",2013-03-05,281,0.024,-3.72970144863419,5.63835466933375
"173",2013-03-10,1760,0.46,-0.776528789498996,7.4730690880322
"174",2013-03-19,476,0.072,-2.63108915996608,6.16541785423142
"175",2013-03-26,451,0.046,-3.07911388249304,6.11146733950268
"176",2013-04-05,982,0.072,-2.63108915996608,6.88959130835447
"177",2013-04-11,1670,0.132,-2.02495335639577,7.4205789054108
"178",2013-04-18,3690,0.554,-0.590590592234853,8.21338173703457
"179",2013-04-25,762,0.062,-2.78062089393705,6.63594655568665
"180",2013-05-03,806,0.074,-2.60369018577797,6.69208374250663
"181",2013-05-10,11500,0.934,-0.0682788407532944,9.35010231435134
"182",2013-05-21,1630,0.564,-0.572701027484078,7.39633529380081
"183",2013-05-29,732,0.082,-2.50103603171788,6.59578051396131
"184",2013-06-07,724,0.084,-2.47693848013882,6.58479139238572
"185",2013-06-26,267,0.082,-2.50103603171788,5.58724865840025
"186",2013-07-10,187,0.086,-2.45340798272863,5.23110861685459
"187",2013-07-17,198,0.081,-2.5133061243097,5.28826703069454
"188",2013-08-01,802,0.224,-1.4961092271271,6.68710860786651
"189",2013-08-08,2410,0.198,-1.6194882482876,7.7873820264847
"190",2013-08-21,375,0.076,-2.57702193869581,5.92692602597041
"191",2013-08-29,248,0.078,-2.55104645229255,5.51342874616498
"192",2013-09-05,202,0.078,-2.55104645229255,5.30826769740121
"193",2013-09-12,175,0.074,-2.60369018577797,5.16478597392351
"194",2013-09-19,166,0.084,-2.47693848013882,5.11198778835654
"195",2013-09-20,543,0.082,-2.50103603171788,6.29710931993394
"196",2013-10-03,219,0.078,-2.55104645229255,5.3890717298165
"197",2013-10-06,1780,0.33,-1.10866262452161,7.48436864328613
"198",2013-10-21,262,0.072,-2.63108915996608,5.5683445037611
"199",2013-10-30,237,0.068,-2.68824757380603,5.46806014113513
"200",2013-11-07,605,0.07,-2.65926003693278,6.40522845803084
"201",2013-11-14,293,0.051,-2.97592964625781,5.68017260901707
"202",2013-11-21,252,0.038,-3.27016911925575,5.52942908751142
"203",2013-12-03,236,0.028,-3.57555076880693,5.46383180502561
"204",2013-12-13,256,0.018,-4.01738352108597,5.54517744447956
"205",2013-12-20,588,0.05,-2.99573227355399,6.37672694789863
"206",2013-12-21,2570,0.38,-0.967584026261706,7.85166117788927
"207",2014-01-08,407,0.042,-3.17008566069877,6.00881318544259
"208",2014-01-11,2290,0.317,-1.14885350510486,7.73630709654828
"209",2014-01-23,438,0.028,-3.57555076880693,6.08221891037645
"210",2014-01-29,348,0.028,-3.57555076880693,5.85220247977447
"211",2014-02-07,322,0.018,-4.01738352108597,5.77455154554441
