"","id","folds","span","const","id.1","folds.1","span.1","const.1","id.2","folds.2","span.2","const.2","id.3","folds.3","span.3","const.3","id.4","folds.4","span.4","const.4","id.5","folds.5","span.5","const.5","id.6","folds.6","span.6","const.6","REALID"
"86",36,"folds.6",0.45,"NO3",36,"folds.6",0.65,"TN",36,"folds.6",0.9,"SRP",36,"folds.6",0.5,"TP",36,"folds.6",0.6,"TSS",36,"folds.6",0.85,"Cl",36,"folds.6",0.5,"SO4",86
"87",37,"folds.6",0.5,"NO3",37,"folds.6",0.65,"TN",37,"folds.6",0.7,"SRP",37,"folds.6",0.45,"TP",37,"folds.6",0.4,"TSS",37,"folds.6",0.65,"Cl",37,"folds.6",0.65,"SO4",87
"88",38,"folds.6",0.5,"NO3",38,"folds.6",0.75,"TN",38,"folds.6",0.6,"SRP",38,"folds.6",0.55,"TP",38,"folds.6",0.25,"TSS",38,"folds.6",0.75,"Cl",38,"folds.6",0.45,"SO4",88
"89",39,"folds.6",0.65,"NO3",39,"folds.6",0.55,"TN",39,"folds.6",0.8,"SRP",39,"folds.6",0.65,"TP",39,"folds.6",0.4,"TSS",39,"folds.6",0.6,"Cl",39,"folds.6",0.3,"SO4",89
"90",40,"folds.6",0.4,"NO3",40,"folds.6",0.8,"TN",40,"folds.6",0.8,"SRP",40,"folds.6",0.5,"TP",40,"folds.6",0.55,"TSS",40,"folds.6",0.45,"Cl",40,"folds.6",0.75,"SO4",90
"91",41,"folds.6",0.3,"NO3",41,"folds.6",0.6,"TN",41,"folds.6",0.8,"SRP",41,"folds.6",0.7,"TP",41,"folds.6",0.55,"TSS",41,"folds.6",0.5,"Cl",41,"folds.6",0.5,"SO4",91
"92",42,"folds.6",0.4,"NO3",42,"folds.6",0.5,"TN",42,"folds.6",0.8,"SRP",42,"folds.6",0.3,"TP",42,"folds.6",0.25,"TSS",42,"folds.6",0.5,"Cl",42,"folds.6",0.55,"SO4",92
"93",43,"folds.6",0.45,"NO3",43,"folds.6",0.7,"TN",43,"folds.6",0.7,"SRP",43,"folds.6",0.55,"TP",43,"folds.6",0.3,"TSS",43,"folds.6",0.8,"Cl",43,"folds.6",0.65,"SO4",93
"94",44,"folds.6",0.4,"NO3",44,"folds.6",0.75,"TN",44,"folds.6",0.8,"SRP",44,"folds.6",0.65,"TP",44,"folds.6",0.5,"TSS",44,"folds.6",0.6,"Cl",44,"folds.6",0.55,"SO4",94
"95",45,"folds.6",0.4,"NO3",45,"folds.6",0.55,"TN",45,"folds.6",0.9,"SRP",45,"folds.6",0.55,"TP",45,"folds.6",0.2,"TSS",45,"folds.6",0.45,"Cl",45,"folds.6",0.3,"SO4",95
"96",46,"folds.6",0.35,"NO3",46,"folds.6",0.35,"TN",46,"folds.6",0.7,"SRP",46,"folds.6",0.35,"TP",46,"folds.6",0.6,"TSS",46,"folds.6",0.55,"Cl",46,"folds.6",0.65,"SO4",96
"97",47,"folds.6",0.5,"NO3",47,"folds.6",0.75,"TN",47,"folds.6",0.85,"SRP",47,"folds.6",0.6,"TP",47,"folds.6",0.4,"TSS",47,"folds.6",0.6,"Cl",47,"folds.6",0.45,"SO4",97
"98",48,"folds.6",0.5,"NO3",48,"folds.6",0.75,"TN",48,"folds.6",0.8,"SRP",48,"folds.6",0.5,"TP",48,"folds.6",0.35,"TSS",48,"folds.6",0.65,"Cl",48,"folds.6",0.3,"SO4",98
"99",49,"folds.6",0.5,"NO3",49,"folds.6",0.65,"TN",49,"folds.6",0.7,"SRP",49,"folds.6",0.5,"TP",49,"folds.6",0.4,"TSS",49,"folds.6",0.6,"Cl",49,"folds.6",0.65,"SO4",99
"100",50,"folds.6",0.45,"NO3",50,"folds.6",0.55,"TN",50,"folds.6",0.65,"SRP",50,"folds.6",0.65,"TP",50,"folds.6",0.4,"TSS",50,"folds.6",0.65,"Cl",50,"folds.6",0.6,"SO4",100
"101",1,"folds.7",0.45,"NO3",1,"folds.7",0.6,"TN",1,"folds.7",0.7,"SRP",1,"folds.7",0.25,"TP",1,"folds.7",0.25,"TSS",1,"folds.7",0.55,"Cl",1,"folds.7",0.3,"SO4",101
"102",2,"folds.7",0.55,"NO3",2,"folds.7",0.6,"TN",2,"folds.7",0.85,"SRP",2,"folds.7",0.35,"TP",2,"folds.7",0.2,"TSS",2,"folds.7",0.85,"Cl",2,"folds.7",0.6,"SO4",102
"103",3,"folds.7",0.5,"NO3",3,"folds.7",0.35,"TN",3,"folds.7",0.65,"SRP",3,"folds.7",0.5,"TP",3,"folds.7",0.3,"TSS",3,"folds.7",0.7,"Cl",3,"folds.7",0.45,"SO4",103
"104",4,"folds.7",0.5,"NO3",4,"folds.7",0.55,"TN",4,"folds.7",0.65,"SRP",4,"folds.7",0.5,"TP",4,"folds.7",0.45,"TSS",4,"folds.7",0.5,"Cl",4,"folds.7",0.45,"SO4",104
"105",5,"folds.7",0.65,"NO3",5,"folds.7",0.65,"TN",5,"folds.7",0.85,"SRP",5,"folds.7",0.6,"TP",5,"folds.7",0.3,"TSS",5,"folds.7",0.6,"Cl",5,"folds.7",0.7,"SO4",105
"106",6,"folds.7",0.55,"NO3",6,"folds.7",0.75,"TN",6,"folds.7",0.6,"SRP",6,"folds.7",0.5,"TP",6,"folds.7",0.45,"TSS",6,"folds.7",0.55,"Cl",6,"folds.7",0.75,"SO4",106
"107",7,"folds.7",0.75,"NO3",7,"folds.7",0.7,"TN",7,"folds.7",0.75,"SRP",7,"folds.7",0.6,"TP",7,"folds.7",0.5,"TSS",7,"folds.7",0.65,"Cl",7,"folds.7",0.6,"SO4",107
"108",8,"folds.7",0.45,"NO3",8,"folds.7",0.65,"TN",8,"folds.7",0.75,"SRP",8,"folds.7",0.55,"TP",8,"folds.7",0.45,"TSS",8,"folds.7",0.75,"Cl",8,"folds.7",0.75,"SO4",108
"109",9,"folds.7",0.5,"NO3",9,"folds.7",0.5,"TN",9,"folds.7",0.75,"SRP",9,"folds.7",0.55,"TP",9,"folds.7",0.45,"TSS",9,"folds.7",0.5,"Cl",9,"folds.7",0.55,"SO4",109
