id,folds,span,const
23,25,0.85,NO3
24,25,0.9,NO3
25,25,0.9,NO3
26,25,0.85,NO3
27,25,0.85,NO3
28,25,0.65,NO3
29,25,0.9,NO3
30,25,0.9,NO3
31,25,0.9,NO3
32,25,0.8,NO3
33,25,0.7,NO3
34,25,0.85,NO3
35,25,0.9,NO3
36,25,0.75,NO3
37,25,0.9,NO3
38,25,0.75,NO3
39,25,0.9,NO3
40,25,0.9,NO3
41,25,0.9,NO3
42,25,0.9,NO3
43,25,0.85,NO3
44,25,0.85,NO3
45,25,0.9,NO3
46,25,0.85,NO3
47,25,0.85,NO3
48,25,0.9,NO3
49,25,0.9,NO3
50,25,0.9,NO3
1,26,0.8,NO3
2,26,0.9,NO3
3,26,0.8,NO3
4,26,0.8,NO3
5,26,0.85,NO3
6,26,0.85,NO3
7,26,0.8,NO3
8,26,0.8,NO3
9,26,0.9,NO3
10,26,0.9,NO3
11,26,0.9,NO3
12,26,0.8,NO3
13,26,0.6,NO3
14,26,0.9,NO3
15,26,0.9,NO3
16,26,0.9,NO3
17,26,0.8,NO3
18,26,0.9,NO3
19,26,0.9,NO3
20,26,0.9,NO3
21,26,0.9,NO3
22,26,0.85,NO3
23,26,0.9,NO3
24,26,0.9,NO3
25,26,0.9,NO3
26,26,0.8,NO3
27,26,0.8,NO3
28,26,0.85,NO3
29,26,0.6,NO3
30,26,0.85,NO3
31,26,0.9,NO3
32,26,0.85,NO3
33,26,0.9,NO3
34,26,0.9,NO3
35,26,0.8,NO3
36,26,0.85,NO3
37,26,0.65,NO3
38,26,0.7,NO3
39,26,0.9,NO3
40,26,0.9,NO3
41,26,0.85,NO3
42,26,0.9,NO3
43,26,0.9,NO3
44,26,0.9,NO3
45,26,0.8,NO3
46,26,0.9,NO3
47,26,0.9,NO3
48,26,0.85,NO3
49,26,0.85,NO3
50,26,0.85,NO3
1,27,0.85,NO3
2,27,0.85,NO3
3,27,0.8,NO3
4,27,0.85,NO3
5,27,0.85,NO3
6,27,0.9,NO3
